
Purchases Report
-------------------------------------------------------------------------------------------------------------------
Name                     Title                                                                            Price   
-------------------------------------------------------------------------------------------------------------------
Leonard Acosta           Bridge to Terabithia                                                             $6.02
Ivy Dunn                 �?нна Каренина                                                        $0.83
Uma Garrison             Die Verwandlung                                                                  $7.31
Zephr Dean               The City of Ember                                                                $7.98
Montana Carr             The Chronicles of Narnia                                                         $4.89
Zia Hansen               One Flew Over the Cuckoo's Nest                                                  $9.82
Ariana Delaney           A Feast for Crows                                                                $3.59
Zephr Dean               Divine Secrets of the Ya-Ya Sisterhood                                           $7.22
Nash Hardin              City of Ashes                                                                    $4.33
Fuller Whitley           The Eye of the World                                                             $2.02
Trevor Salinas           The Sun Also Rises                                                               $2.88
Cleo Lara                The Martian                                                                      $8.13
Reese Sampson            Bel Canto                                                                        $0.88
Maggie Atkinson          Winnie-the-Pooh                                                                  $3.38
Zephr Dean               A Brief History of Time: From the Big Bang to Black Holes                        $4.39
Jane Contreras           The Ocean at the End of the Lane                                                 $8.07
Patrick Snider           The 7 Habits of Highly Effective People                                          $1.24
Serena Wiley             The Stand                                                                        $7.78
Kareem Robertson         The Immortal Life of Henrietta Lacks                                             $6.40
Leonard Acosta           Northanger Abbey                                                                 $9.13
Malcolm Henry            Mistborn : The Final Empire                                                      $7.18
Adrian Haley             Stranger in a Strange Land                                                       $2.55
Zia Hansen               A Walk in the Woods                                                              $3.01
Hakeem Shaffer           Twilight                                                                         $4.12
Len Wood                 The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story              $8.29
Audra Whitley            Stargirl                                                                         $6.16
Thor Clarke              Into the Wild                                                                    $9.86
Shelley Kidd             The Thorn Birds                                                                  $5.59
Abbot Stanley            Brisingr                                                                         $7.09
Josiah Mccoy             If You Give a Mouse a Cookie                                                     $2.69
Trevor Salinas           The Tragedy of Macbeth                                                           $9.36
Lucy Hodges              Matilda                                                                          $5.95
Uma Garrison             Never Let Me Go                                                                  $3.87
Jane Contreras           Lord of the Flies                                                                $9.17
Fuller Whitley           A Streetcar Named Desire                                                         $8.98
Kerry Kramer             Oh, the Places You'll Go!                                                        $5.79
Roary Haney              Les Misérables                                                                  $1.13
Montana Carr             The Tell-Tale Heart                                                              $6.85
Leonard Acosta           Catching Fire                                                                    $6.33
Kenyon Cherry            A Confederacy of Dunces                                                          $0.94
Fritz Snider             The Cuckoo's Calling                                                             $0.14
Uma Garrison             Wicked: The Life and Times of the Wicked Witch of the West                       $8.93
Akeem Clements           The Nightingale                                                                  $4.18
